possession_1st,possession_2nd,shots_1st,shots_2nd,shots_on_target_1st,shots_on_target_2nd,corners_1st,corners_2nd,passes_1st,passes_2nd,accurate_passes_1st,accurate_passes_2nd,crosses_1st,crosses_2nd,accurate_crosses_1st,accurate_crosses_2nd,successful_tackles_1st,successful_tackles_2nd,fouls_1st,fouls_2nd,offsides_1st,offsides_2nd,yellow_cards_1st,yellow_cards_2nd,red_cards_1st,red_cards_2nd,team_1st,team_2nd,score_1st,score_2nd
47,53,10,14,2,4,4,5,389,447,321,374,25,24,8,2,9,10,20,12,0,2,4,3,0,0,GÓRNIK ŁĘCZNA,JAGIELLONIA BIAŁYSTOK,0,1
51,49,20,12,8,6,9,2,447,452,376,373,26,9,6,2,7,12,7,7,2,1,1,0,0,0,ŚLĄSK WROCŁAW,GÓRNIK ZABRZE,3,4
56,44,21,15,9,6,4,7,457,353,372,257,17,19,6,8,5,8,9,13,0,2,1,2,0,0,LECH POZNAŃ,KGHM ZAGŁĘBIE LUBIN,2,1
51,49,14,10,3,2,7,3,445,434,364,372,27,10,6,1,12,11,10,20,1,2,1,2,0,0,PIAST GLIWICE,RADOMIAK RADOM,1,1
54,46,18,4,5,2,7,3,411,368,333,287,28,5,11,0,4,11,19,11,0,1,2,2,0,0,WISŁA KRAKÓW,WARTA POZNAŃ,0,1
54,46,21,13,6,4,8,8,445,374,359,298,22,18,8,4,14,8,10,10,1,2,2,3,0,0,POGOŃ SZCZECIN,BRUK-BET TERMALICA NIECIECZA,2,2
49,51,18,7,9,3,6,1,426,448,332,349,14,8,3,1,10,5,14,16,3,0,1,4,0,0,RAKÓW CZĘSTOCHOWA,LECHIA GDAŃSK,3,0
51,49,12,15,4,2,4,7,432,408,347,330,16,20,8,6,13,11,16,11,1,3,2,0,0,0,LEGIA WARSZAWA,CRACOVIA,3,0
56,44,18,14,10,2,11,3,429,340,345,269,27,14,6,1,8,12,10,13,2,0,3,1,0,0,WISŁA PŁOCK,PGE FKS STAL MIELEC,3,0
54,46,27,5,6,0,7,5,423,370,351,285,26,17,6,3,16,9,11,10,1,1,1,1,0,0,CRACOVIA,WISŁA PŁOCK,3,0
39,61,18,20,7,5,7,4,367,580,280,509,13,16,7,5,9,6,7,12,1,0,2,4,0,0,JAGIELLONIA BIAŁYSTOK,LEGIA WARSZAWA,2,2
57,43,18,11,3,3,4,7,436,331,334,236,26,13,10,1,7,5,18,17,3,1,2,0,0,0,BRUK-BET TERMALICA NIECIECZA,PIAST GLIWICE,0,1
46,54,8,16,3,3,0,4,433,506,325,393,5,20,1,5,11,4,15,8,0,0,2,2,0,0,WARTA POZNAŃ,LECH POZNAŃ,1,2
42,58,16,13,5,2,2,9,317,439,230,339,16,27,3,7,5,6,16,9,1,2,6,1,0,1,KGHM ZAGŁĘBIE LUBIN,RAKÓW CZĘSTOCHOWA,1,0
54,46,12,17,4,3,9,6,452,384,369,304,22,20,3,9,15,11,15,8,1,3,2,2,0,1,LECHIA GDAŃSK,POGOŃ SZCZECIN,0,0
60,40,12,13,5,4,8,4,495,335,397,238,28,19,6,3,6,10,9,21,2,2,3,6,0,1,PGE FKS STAL MIELEC,ŚLĄSK WROCŁAW,1,1
70,30,15,5,6,3,4,3,560,245,481,157,21,11,7,2,13,12,8,14,2,3,3,3,0,0,GÓRNIK ZABRZE,GÓRNIK ŁĘCZNA,4,2
55,45,15,20,5,2,4,5,383,307,291,211,17,14,4,3,14,17,15,14,4,1,2,0,0,0,RADOMIAK RADOM,WISŁA KRAKÓW,4,2
66,34,10,9,4,7,4,1,507,265,409,176,22,9,4,3,11,9,10,23,0,0,2,1,0,0,RADOMIAK RADOM,KGHM ZAGŁĘBIE LUBIN,1,6
46,54,16,7,7,3,3,5,372,434,281,341,12,16,2,3,14,15,13,15,2,1,1,2,0,0,LEGIA WARSZAWA,GÓRNIK ZABRZE,5,3
65,35,8,14,1,7,2,3,573,297,474,216,9,15,1,4,10,13,13,19,2,1,1,2,0,0,WISŁA PŁOCK,WARTA POZNAŃ,0,3
37,63,11,20,5,10,1,7,324,564,239,474,12,19,3,8,11,12,7,9,2,1,2,0,0,0,ŚLĄSK WROCŁAW,POGOŃ SZCZECIN,1,1
68,32,12,8,2,2,6,3,546,267,426,157,26,8,6,2,11,20,12,16,2,4,0,3,0,0,WISŁA KRAKÓW,JAGIELLONIA BIAŁYSTOK,0,0
52,48,15,15,7,8,4,8,375,336,285,246,17,25,4,8,4,14,24,11,4,1,4,2,0,1,LECHIA GDAŃSK,PGE FKS STAL MIELEC,3,2
55,45,17,7,3,1,7,6,356,302,265,212,29,15,8,3,13,16,11,11,3,0,3,3,0,0,RAKÓW CZĘSTOCHOWA,CRACOVIA,1,1
45,55,9,11,2,4,1,5,389,468,297,386,8,15,4,3,11,11,10,18,0,0,3,3,0,0,PIAST GLIWICE,LECH POZNAŃ,1,2
43,57,8,20,2,6,3,8,303,408,209,301,19,30,2,7,4,9,11,11,1,3,3,6,1,0,GÓRNIK ŁĘCZNA,BRUK-BET TERMALICA NIECIECZA,1,1
64,36,29,12,11,4,16,5,569,313,492,234,24,14,5,5,5,7,12,9,1,1,3,0,0,0,LECH POZNAŃ,GÓRNIK ŁĘCZNA,3,0
63,37,15,10,6,5,4,7,510,299,421,220,24,16,6,5,14,8,12,14,3,2,2,3,0,0,POGOŃ SZCZECIN,RAKÓW CZĘSTOCHOWA,1,2
46,54,7,11,3,3,4,4,390,472,294,362,20,15,1,3,3,7,13,16,1,2,3,2,0,0,WARTA POZNAŃ,PIAST GLIWICE,2,3
47,53,13,8,8,1,5,3,462,524,365,430,16,17,5,2,6,9,13,13,1,2,2,5,0,0,GÓRNIK ZABRZE,RADOMIAK RADOM,0,0
50,50,18,8,5,2,9,3,379,385,278,284,25,20,10,5,6,9,13,24,0,1,3,2,0,0,JAGIELLONIA BIAŁYSTOK,ŚLĄSK WROCŁAW,1,1
55,45,23,3,7,1,8,1,442,382,339,252,37,7,12,1,11,11,15,12,6,1,1,2,0,0,KGHM ZAGŁĘBIE LUBIN,LECHIA GDAŃSK,2,2
39,61,10,5,3,5,5,2,300,471,195,365,16,17,5,5,7,7,10,16,1,6,2,5,0,0,PGE FKS STAL MIELEC,LEGIA WARSZAWA,2,1
36,64,11,10,5,3,7,9,276,521,189,441,24,20,8,4,8,5,16,7,0,2,2,1,0,0,BRUK-BET TERMALICA NIECIECZA,WISŁA PŁOCK,1,0
52,48,17,9,5,3,4,4,359,339,267,234,23,14,8,3,11,10,14,14,2,0,2,1,0,0,CRACOVIA,WISŁA KRAKÓW,0,0
58,42,14,5,1,2,5,3,367,281,263,177,31,9,7,2,7,12,19,18,0,3,4,2,0,0,RADOMIAK RADOM,CRACOVIA,0,1
56,44,23,17,5,6,9,5,447,369,349,279,30,11,4,7,9,7,12,9,1,0,1,2,0,0,KGHM ZAGŁĘBIE LUBIN,GÓRNIK ZABRZE,2,4
46,54,13,16,2,4,4,4,342,414,256,330,20,19,5,5,3,8,18,13,1,2,3,3,1,0,ŚLĄSK WROCŁAW,BRUK-BET TERMALICA NIECIECZA,0,4
43,57,11,14,5,7,3,9,342,457,259,362,19,24,5,5,8,14,8,17,4,2,0,3,0,0,PIAST GLIWICE,JAGIELLONIA BIAŁYSTOK,2,1
61,39,10,15,3,2,1,7,549,339,439,234,9,20,2,7,9,15,14,15,1,2,3,4,0,0,LECHIA GDAŃSK,WARTA POZNAŃ,2,0
62,38,22,8,4,2,10,7,527,326,429,245,25,12,4,6,8,4,9,9,5,3,1,1,0,0,LECH POZNAŃ,PGE FKS STAL MIELEC,3,1
